"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"30/05/11","Informal","4.325",""
"31/05/11","Casas de cambio","4.120",""
"31/05/11","Informal","4.298",""
"01/06/11","Casas de cambio","4.120",""
"01/06/11","Informal","4.305",""
"02/06/11","Casas de cambio","4.120",""
"02/06/11","Informal","4.295",""
"03/06/11","Casas de cambio","4.125",""
"03/06/11","Informal","4.283",""
"06/06/11","Casas de cambio","4.125",""
"06/06/11","Informal","4.268",""
"07/06/11","Casas de cambio","4.125",""
"07/06/11","Informal","4.263",""
"08/06/11","Casas de cambio","4.125",""
"08/06/11","Informal","4.275",""
"09/06/11","Casas de cambio","4.125",""
"09/06/11","Informal","4.263",""
"10/06/11","Casas de cambio","4.125",""
"10/06/11","Informal","4.260",""
"13/06/11","Casas de cambio","4.130",""
"13/06/11","Informal","4.263",""
"14/06/11","Casas de cambio","4.130",""
"14/06/11","Informal","4.288",""
"15/06/11","Casas de cambio","4.130",""
"15/06/11","Informal","4.308",""
"16/06/11","Casas de cambio","4.130",""
"16/06/11","Informal","4.310",""
"17/06/11","Casas de cambio","4.130",""
"17/06/11","Informal","4.300",""
"21/06/11","Casas de cambio","4.130",""
"21/06/11","Informal","4.293",""
"22/06/11","Casas de cambio","4.130",""
"22/06/11","Informal","4.298",""
"23/06/11","Casas de cambio","4.130",""
"23/06/11","Informal","4.300",""
"24/06/11","Casas de cambio","4.130",""
"24/06/11","Informal","4.300",""
"27/06/11","Casas de cambio","4.130",""
"27/06/11","Informal","4.290",""
"28/06/11","Casas de cambio","4.130",""
"28/06/11","Informal","4.290",""
"29/06/11","Casas de cambio","4.140",""
"29/06/11","Informal","4.290",""
"30/06/11","Casas de cambio","4.140",""
"30/06/11","Informal","4.273",""
"01/07/11","Casas de cambio","4.140",""
"01/07/11","Informal","4.275",""
"04/07/11","Casas de cambio","4.140",""
"04/07/11","Informal","4.268",""
"05/07/11","Casas de cambio","4.140",""
"05/07/11","Informal","4.260",""
"06/07/11","Casas de cambio","4.145",""
"06/07/11","Informal","4.270",""
"07/07/11","Casas de cambio","4.150",""
"07/07/11","Informal","4.263",""
"08/07/11","Casas de cambio","4.150",""
